x,y,color,pen_down?
,,,pen down?
0.0,10.0,15.0,TRUE
1.0,15.0,15.0,TRUE
2.0,28.0,15.0,TRUE
3.0,40.0,15.0,TRUE
4.0,59.0,15.0,TRUE
5.0,96.0,15.0,TRUE
6.0,129.0,15.0,TRUE
7.0,189.0,15.0,TRUE
8.0,264.0,15.0,TRUE
9.0,335.0,15.0,TRUE
10.0,424.0,15.0,TRUE
11.0,513.0,15.0,TRUE
12.0,655.0,15.0,TRUE
13.0,793.0,15.0,TRUE
14.0,930.0,15.0,TRUE
15.0,1116.0,15.0,TRUE
16.0,1297.0,15.0,TRUE
17.0,1515.0,15.0,TRUE
18.0,1697.0,15.0,TRUE
19.0,1869.0,15.0,TRUE
20.0,2086.0,15.0,TRUE
21.0,2311.0,15.0,TRUE
22.0,2501.0,15.0,TRUE
23.0,2745.0,15.0,TRUE
24.0,2989.0,15.0,TRUE
25.0,3273.0,15.0,TRUE
26.0,3532.0,15.0,TRUE
27.0,3803.0,15.0,TRUE
28.0,4033.0,15.0,TRUE
29.0,4290.0,15.0,TRUE
30.0,4486.0,15.0,TRUE
31.0,4667.0,15.0,TRUE
32.0,4899.0,15.0,TRUE
33.0,5102.0,15.0,TRUE
34.0,5257.0,15.0,TRUE
35.0,5465.0,15.0,TRUE
36.0,5593.0,15.0,TRUE
37.0,5751.0,15.0,TRUE
38.0,5951.0,15.0,TRUE
39.0,6096.0,15.0,TRUE
40.0,6258.0,15.0,TRUE
41.0,6351.0,15.0,TRUE
42.0,6407.0,15.0,TRUE
43.0,6414.0,15.0,TRUE
44.0,6386.0,15.0,TRUE
45.0,6378.0,15.0,TRUE
46.0,6284.0,15.0,TRUE
47.0,6161.0,15.0,TRUE
48.0,6002.0,15.0,TRUE
49.0,5875.0,15.0,TRUE
50.0,5626.0,15.0,TRUE
51.0,5394.0,15.0,TRUE
52.0,5150.0,15.0,TRUE
53.0,4916.0,15.0,TRUE
54.0,4655.0,15.0,TRUE
55.0,4335.0,15.0,TRUE
56.0,4014.0,15.0,TRUE
57.0,3717.0,15.0,TRUE
58.0,3409.0,15.0,TRUE
59.0,3130.0,15.0,TRUE
60.0,2802.0,15.0,TRUE
61.0,2520.0,15.0,TRUE
62.0,2262.0,15.0,TRUE
63.0,2058.0,15.0,TRUE
64.0,1857.0,15.0,TRUE
65.0,1633.0,15.0,TRUE
66.0,1445.0,15.0,TRUE
67.0,1290.0,15.0,TRUE
68.0,1146.0,15.0,TRUE
69.0,1015.0,15.0,TRUE
70.0,914.0,15.0,TRUE
71.0,815.0,15.0,TRUE
72.0,737.0,15.0,TRUE
73.0,655.0,15.0,TRUE
74.0,566.0,15.0,TRUE
75.0,500.0,15.0,TRUE
76.0,449.0,15.0,TRUE
77.0,373.0,15.0,TRUE
78.0,325.0,15.0,TRUE
79.0,280.0,15.0,TRUE
80.0,264.0,15.0,TRUE
81.0,239.0,15.0,TRUE
82.0,217.0,15.0,TRUE
83.0,210.0,15.0,TRUE
84.0,191.0,15.0,TRUE
85.0,191.0,15.0,TRUE
86.0,197.0,15.0,TRUE
87.0,199.0,15.0,TRUE
88.0,189.0,15.0,TRUE
89.0,197.0,15.0,TRUE
90.0,188.0,15.0,TRUE
91.0,184.0,15.0,TRUE
92.0,178.0,15.0,TRUE
93.0,163.0,15.0,TRUE
94.0,164.0,15.0,TRUE
95.0,153.0,15.0,TRUE
96.0,163.0,15.0,TRUE
97.0,173.0,15.0,TRUE
98.0,185.0,15.0,TRUE
99.0,195.0,15.0,TRUE
100.0,207.0,15.0,TRUE
101.0,207.0,15.0,TRUE
102.0,234.0,15.0,TRUE
103.0,259.0,15.0,TRUE
104.0,285.0,15.0,TRUE
105.0,315.0,15.0,TRUE
106.0,366.0,15.0,TRUE
107.0,404.0,15.0,TRUE
108.0,450.0,15.0,TRUE
109.0,499.0,15.0,TRUE
110.0,544.0,15.0,TRUE
111.0,605.0,15.0,TRUE
112.0,664.0,15.0,TRUE
113.0,733.0,15.0,TRUE
114.0,825.0,15.0,TRUE
115.0,904.0,15.0,TRUE
116.0,970.0,15.0,TRUE
117.0,1045.0,15.0,TRUE
118.0,1112.0,15.0,TRUE
119.0,1192.0,15.0,TRUE
120.0,1268.0,15.0,TRUE
121.0,1356.0,15.0,TRUE
122.0,1390.0,15.0,TRUE
123.0,1468.0,15.0,TRUE
124.0,1513.0,15.0,TRUE
125.0,1514.0,15.0,TRUE
126.0,1509.0,15.0,TRUE
127.0,1463.0,15.0,TRUE
128.0,1417.0,15.0,TRUE
129.0,1359.0,15.0,TRUE
130.0,1276.0,15.0,TRUE
131.0,1234.0,15.0,TRUE
132.0,1169.0,15.0,TRUE
133.0,1121.0,15.0,TRUE
134.0,1004.0,15.0,TRUE
135.0,952.0,15.0,TRUE
136.0,865.0,15.0,TRUE
137.0,794.0,15.0,TRUE
138.0,690.0,15.0,TRUE
139.0,609.0,15.0,TRUE
140.0,564.0,15.0,TRUE
141.0,494.0,15.0,TRUE
142.0,435.0,15.0,TRUE
143.0,379.0,15.0,TRUE
144.0,349.0,15.0,TRUE
145.0,323.0,15.0,TRUE
146.0,312.0,15.0,TRUE
147.0,303.0,15.0,TRUE
148.0,313.0,15.0,TRUE
149.0,292.0,15.0,TRUE
150.0,259.0,15.0,TRUE
151.0,232.0,15.0,TRUE
152.0,202.0,15.0,TRUE
153.0,180.0,15.0,TRUE
154.0,170.0,15.0,TRUE
155.0,163.0,15.0,TRUE
156.0,151.0,15.0,TRUE
157.0,128.0,15.0,TRUE
158.0,116.0,15.0,TRUE
159.0,86.0,15.0,TRUE
160.0,73.0,15.0,TRUE
161.0,61.0,15.0,TRUE
162.0,48.0,15.0,TRUE
163.0,35.0,15.0,TRUE
164.0,31.0,15.0,TRUE
165.0,26.0,15.0,TRUE
166.0,22.0,15.0,TRUE
167.0,24.0,15.0,TRUE
168.0,23.0,15.0,TRUE
169.0,28.0,15.0,TRUE
170.0,30.0,15.0,TRUE
171.0,31.0,15.0,TRUE
172.0,36.0,15.0,TRUE
173.0,41.0,15.0,TRUE
174.0,40.0,15.0,TRUE
175.0,47.0,15.0,TRUE
176.0,49.0,15.0,TRUE
177.0,63.0,15.0,TRUE
178.0,75.0,15.0,TRUE
179.0,79.0,15.0,TRUE
180.0,98.0,15.0,TRUE
181.0,116.0,15.0,TRUE
182.0,131.0,15.0,TRUE
183.0,151.0,15.0,TRUE
184.0,170.0,15.0,TRUE
185.0,218.0,15.0,TRUE
186.0,256.0,15.0,TRUE
187.0,309.0,15.0,TRUE
188.0,374.0,15.0,TRUE
189.0,436.0,15.0,TRUE
190.0,494.0,15.0,TRUE
191.0,556.0,15.0,TRUE
192.0,609.0,15.0,TRUE
193.0,679.0,15.0,TRUE
194.0,759.0,15.0,TRUE
195.0,841.0,15.0,TRUE
196.0,954.0,15.0,TRUE
197.0,1082.0,15.0,TRUE
198.0,1210.0,15.0,TRUE
199.0,1337.0,15.0,TRUE
200.0,1487.0,15.0,TRUE
201.0,1684.0,15.0,TRUE
202.0,1855.0,15.0,TRUE
203.0,2037.0,15.0,TRUE
204.0,2214.0,15.0,TRUE
205.0,2380.0,15.0,TRUE
206.0,2514.0,15.0,TRUE
207.0,2678.0,15.0,TRUE
208.0,2799.0,15.0,TRUE
209.0,2920.0,15.0,TRUE
210.0,3014.0,15.0,TRUE
211.0,3103.0,15.0,TRUE
212.0,3157.0,15.0,TRUE
213.0,3168.0,15.0,TRUE
214.0,3154.0,15.0,TRUE
215.0,3130.0,15.0,TRUE
216.0,3060.0,15.0,TRUE
217.0,2975.0,15.0,TRUE
218.0,2979.0,15.0,TRUE
219.0,2889.0,15.0,TRUE
220.0,2764.0,15.0,TRUE
221.0,2627.0,15.0,TRUE
222.0,2398.0,15.0,TRUE
223.0,2198.0,15.0,TRUE
224.0,1993.0,15.0,TRUE
225.0,1788.0,15.0,TRUE
226.0,1640.0,15.0,TRUE
227.0,1477.0,15.0,TRUE
228.0,1281.0,15.0,TRUE
229.0,1119.0,15.0,TRUE
230.0,995.0,15.0,TRUE
231.0,891.0,15.0,TRUE
232.0,793.0,15.0,TRUE
233.0,710.0,15.0,TRUE
234.0,615.0,15.0,TRUE
235.0,533.0,15.0,TRUE
236.0,485.0,15.0,TRUE
237.0,407.0,15.0,TRUE
238.0,358.0,15.0,TRUE
239.0,314.0,15.0,TRUE
240.0,282.0,15.0,TRUE
241.0,243.0,15.0,TRUE
242.0,216.0,15.0,TRUE
243.0,203.0,15.0,TRUE
244.0,178.0,15.0,TRUE
245.0,147.0,15.0,TRUE
246.0,134.0,15.0,TRUE
247.0,123.0,15.0,TRUE
248.0,108.0,15.0,TRUE
249.0,98.0,15.0,TRUE
250.0,93.0,15.0,TRUE
251.0,80.0,15.0,TRUE
252.0,78.0,15.0,TRUE
253.0,76.0,15.0,TRUE
254.0,67.0,15.0,TRUE
255.0,59.0,15.0,TRUE
256.0,58.0,15.0,TRUE
257.0,51.0,15.0,TRUE
258.0,47.0,15.0,TRUE
259.0,44.0,15.0,TRUE
260.0,41.0,15.0,TRUE
261.0,40.0,15.0,TRUE
262.0,37.0,15.0,TRUE
263.0,29.0,15.0,TRUE
264.0,25.0,15.0,TRUE
265.0,21.0,15.0,TRUE
266.0,20.0,15.0,TRUE
267.0,21.0,15.0,TRUE
268.0,17.0,15.0,TRUE
269.0,22.0,15.0,TRUE
270.0,25.0,15.0,TRUE
271.0,32.0,15.0,TRUE
272.0,36.0,15.0,TRUE
273.0,43.0,15.0,TRUE
274.0,46.0,15.0,TRUE
275.0,53.0,15.0,TRUE
276.0,61.0,15.0,TRUE
277.0,76.0,15.0,TRUE
278.0,101.0,15.0,TRUE
279.0,139.0,15.0,TRUE
280.0,185.0,15.0,TRUE
281.0,237.0,15.0,TRUE
282.0,306.0,15.0,TRUE
283.0,377.0,15.0,TRUE
284.0,482.0,15.0,TRUE
285.0,588.0,15.0,TRUE
286.0,677.0,15.0,TRUE
287.0,794.0,15.0,TRUE
288.0,938.0,15.0,TRUE
289.0,1084.0,15.0,TRUE
290.0,1280.0,15.0,TRUE
291.0,1518.0,15.0,TRUE
292.0,1794.0,15.0,TRUE
293.0,2024.0,15.0,TRUE
294.0,2328.0,15.0,TRUE
295.0,2635.0,15.0,TRUE
296.0,2964.0,15.0,TRUE
297.0,3274.0,15.0,TRUE
298.0,3592.0,15.0,TRUE
299.0,3873.0,15.0,TRUE
300.0,4107.0,15.0,TRUE
301.0,4288.0,15.0,TRUE
302.0,4508.0,15.0,TRUE
303.0,4633.0,15.0,TRUE
304.0,4820.0,15.0,TRUE
305.0,4878.0,15.0,TRUE
306.0,4927.0,15.0,TRUE
307.0,4949.0,15.0,TRUE
308.0,4956.0,15.0,TRUE
309.0,4894.0,15.0,TRUE
310.0,4831.0,15.0,TRUE
311.0,4725.0,15.0,TRUE
312.0,4609.0,15.0,TRUE
313.0,4406.0,15.0,TRUE
314.0,4173.0,15.0,TRUE
315.0,3896.0,15.0,TRUE
316.0,3601.0,15.0,TRUE
317.0,3341.0,15.0,TRUE
318.0,3102.0,15.0,TRUE
319.0,2814.0,15.0,TRUE
320.0,2536.0,15.0,TRUE
321.0,2279.0,15.0,TRUE
322.0,2017.0,15.0,TRUE
323.0,1832.0,15.0,TRUE
324.0,1577.0,15.0,TRUE
325.0,1341.0,15.0,TRUE
326.0,1160.0,15.0,TRUE
327.0,962.0,15.0,TRUE
328.0,820.0,15.0,TRUE
329.0,702.0,15.0,TRUE
330.0,585.0,15.0,TRUE
331.0,499.0,15.0,TRUE
332.0,410.0,15.0,TRUE
333.0,327.0,15.0,TRUE
334.0,264.0,15.0,TRUE
335.0,201.0,15.0,TRUE
336.0,157.0,15.0,TRUE
337.0,128.0,15.0,TRUE
338.0,100.0,15.0,TRUE
339.0,74.0,15.0,TRUE
340.0,63.0,15.0,TRUE
341.0,56.0,15.0,TRUE
342.0,50.0,15.0,TRUE
343.0,42.0,15.0,TRUE
344.0,35.0,15.0,TRUE
345.0,30.0,15.0,TRUE
346.0,26.0,15.0,TRUE
347.0,23.0,15.0,TRUE
348.0,23.0,15.0,TRUE
349.0,15.0,15.0,TRUE
350.0,12.0,15.0,TRUE
351.0,11.0,15.0,TRUE
352.0,12.0,15.0,TRUE
353.0,11.0,15.0,TRUE
354.0,8.0,15.0,TRUE
355.0,5.0,15.0,TRUE
356.0,4.0,15.0,TRUE
357.0,2.0,15.0,TRUE
358.0,1.0,15.0,TRUE
359.0,0.0,15.0,TRUE
360.0,0.0,15.0,TRUE
361.0,0.0,15.0,TRUE
362.0,0.0,15.0,TRUE
363.0,0.0,15.0,TRUE
364.0,0.0,15.0,TRUE
365.0,0.0,15.0,TRUE
366.0,0.0,15.0,TRUE
367.0,0.0,15.0,TRUE
368.0,0.0,15.0,TRUE
369.0,0.0,15.0,TRUE
370.0,0.0,15.0,TRUE
371.0,0.0,15.0,TRUE
372.0,0.0,15.0,TRUE
373.0,0.0,15.0,TRUE
374.0,0.0,15.0,TRUE
375.0,0.0,15.0,TRUE
376.0,0.0,15.0,TRUE
377.0,0.0,15.0,TRUE
378.0,0.0,15.0,TRUE
379.0,0.0,15.0,TRUE
380.0,0.0,15.0,TRUE
381.0,0.0,15.0,TRUE
382.0,0.0,15.0,TRUE
383.0,0.0,15.0,TRUE
384.0,0.0,15.0,TRUE
385.0,0.0,15.0,TRUE
386.0,0.0,15.0,TRUE
387.0,0.0,15.0,TRUE
388.0,0.0,15.0,TRUE
389.0,0.0,15.0,TRUE
390.0,0.0,15.0,TRUE
391.0,0.0,15.0,TRUE
392.0,0.0,15.0,TRUE
393.0,0.0,15.0,TRUE
394.0,0.0,15.0,TRUE
395.0,0.0,15.0,TRUE
396.0,0.0,15.0,TRUE
397.0,0.0,15.0,TRUE
398.0,0.0,15.0,TRUE
399.0,0.0,15.0,TRUE
400.0,0.0,15.0,TRUE
401.0,0.0,15.0,TRUE
402.0,0.0,15.0,TRUE
403.0,0.0,15.0,TRUE
404.0,0.0,15.0,TRUE
405.0,0.0,15.0,TRUE
406.0,0.0,15.0,TRUE
407.0,0.0,15.0,TRUE
408.0,0.0,15.0,TRUE
409.0,0.0,15.0,TRUE
410.0,0.0,15.0,TRUE
411.0,0.0,15.0,TRUE
412.0,0.0,15.0,TRUE
413.0,0.0,15.0,TRUE
414.0,0.0,15.0,TRUE
415.0,0.0,15.0,TRUE
416.0,0.0,15.0,TRUE
417.0,0.0,15.0,TRUE
418.0,0.0,15.0,TRUE
419.0,0.0,15.0,TRUE
420.0,0.0,15.0,TRUE
421.0,0.0,15.0,TRUE
422.0,0.0,15.0,TRUE
423.0,0.0,15.0,TRUE
424.0,0.0,15.0,TRUE
425.0,0.0,15.0,TRUE
426.0,0.0,15.0,TRUE
427.0,0.0,15.0,TRUE
428.0,0.0,15.0,TRUE
429.0,0.0,15.0,TRUE
430.0,0.0,15.0,TRUE
431.0,0.0,15.0,TRUE
432.0,0.0,15.0,TRUE
433.0,0.0,15.0,TRUE
434.0,0.0,15.0,TRUE
435.0,0.0,15.0,TRUE
436.0,0.0,15.0,TRUE
437.0,0.0,15.0,TRUE
438.0,0.0,15.0,TRUE
439.0,0.0,15.0,TRUE
440.0,0.0,15.0,TRUE
441.0,0.0,15.0,TRUE
442.0,0.0,15.0,TRUE
443.0,0.0,15.0,TRUE
444.0,0.0,15.0,TRUE
445.0,0.0,15.0,TRUE
446.0,0.0,15.0,TRUE
447.0,0.0,15.0,TRUE
448.0,0.0,15.0,TRUE
449.0,0.0,15.0,TRUE
